text,analysis,score
今天去吃了火锅，辣得我眼泪都流出来了🌶️,（满足）尽管感到麻辣的刺激，但总体表现出享受美食的满足感。,75
刚刚和朋友去打了几局篮球，结果全都输了🏀,（失落）对篮球比赛的结果感到失望，情绪负面。,30
今天在宿舍做了一顿大餐，虽然有点糊但味道不错🍳,（满足）对自己做饭的成就感和满足感明显，情绪正面。,75
刚刚玩了一局王者，结果被虐得体无完肤😭,（失落）对游戏失败感到失望，情绪负面。,30
今天去了一家新的书店，环境很好，适合学习📖,（满足）对书店的环境感到极大的满足和愉悦，情绪正面。,80
刚刚被老师夸奖了一句，心里美滋滋的😊,（满足）对老师的表扬感到极大的满足和愉悦，情绪正面。,85
今天去动物园看了大象，居然还被喷了一身水🐘,（惊讶）对意外情况感到惊讶，但情绪较为中性。,50
刚刚和朋友们打了几局桌游，结果我全赢了，爽😎,（自信）对自己在游戏中的表现感到极大的自信和满足，情绪正面。,85
今天去爬山，结果迷路了，绕了好久才找到路⛰️,（担心）对迷路情况感到担忧，但未表现出极端负面情绪。,35
刚刚看完一部爱情片，哭得我眼泪直流💔,（悲伤）对电影的情感冲击感到悲伤，情绪非常负面。,10
今天在街上看到一只流浪猫，感觉心里很难受😢,（悲伤）对流浪猫的境遇感到心疼和悲伤，情绪非常负面。,10
刚刚玩了一整晚的狼人杀，感觉脑子都转不动了🧠,（疲惫）对游戏后的脑力疲惫感到不适，情绪负面。,30
今天去学校的图书馆，居然找到了几本好书📚,（满足）对图书馆的体验感到极大的满足和愉悦，情绪正面。,80
刚刚吃了一碗超级辣的酸辣粉，现在嘴巴还在冒火🔥,（满足）尽管感到麻辣的刺激，但总体表现出享受美食的满足感。,75
今天去参加了学校的志愿者活动，感觉自己做了件好事❤️,（满足）对志愿者活动感到极大的满足和愉悦，情绪正面。,85
刚刚和朋友们去打了几局保龄球，结果成绩惨不忍睹🎳,（失落）对保龄球比赛的结果感到失望，情绪负面。,30
今天上课被老师点名了，心里一阵慌乱😬,（担心）对课堂情况感到担忧，情绪负面。,35
刚刚去逛了夜市，买了好多小吃，好开心🍢,（喜悦）对夜市体验感到极大的满足和愉悦，情绪正面。,85
今天去学校的健身房锻炼了一下，感觉挺不错💪,（满足）对健身房的体验感到满意，情绪正面。,75
刚刚玩了一整晚的游戏，结果现在困得不行😴,（疲惫）对长时间游戏后的疲惫感到不适，情绪负面。,30
今天去了一家新的面馆，面条味道真不错🍜,（满足）对新面馆的体验感到极大的满足，情绪正面。,80
刚刚和室友们一起看了一场电影，气氛超好🎥,（满足）对电影体验感到极大的满足和愉悦，情绪正面。,80
今天的体育课真是虐人，感觉自己快不行了🏋️‍♂️,（痛苦）对体育课后的疲惫感到痛苦，情绪负面。,10
刚刚被朋友带去看了一场舞台剧，真的超级棒🎭,（满足）对舞台剧的体验感到极大的满足和愉悦，情绪正面。,85
今天去吃了传说中的网红炸鸡，味道好到爆🍗,（满足）对美食的极大满足感，情绪非常正面。,85
刚刚玩了一局王者荣耀，结果被虐惨了，郁闷😖,（失落）对游戏失败感到失望，情绪负面。,30
今天去学校附近的小吃街，吃了好多好吃的🍡,（满足）对小吃街的体验感到极大的满足和愉悦，情绪正面。,80
刚刚在宿舍和室友打了几局UNO，结果全输光了🎴,（失落）对游戏的结果感到失望，情绪负面。,30
今天去图书馆找资料，结果资料全被借走了📚,（失落）对借书失败感到失望，情绪负面。,30
刚刚看了一部惊悚片，吓得我半夜都不敢睡觉😱,（恐惧）对惊悚片的情节感到强烈的恐惧，情绪负面。,20
今天去打了一整天的游戏，感觉自己都快废了🎮,（疲惫）对长时间游戏后的疲惫感到不适，情绪负面。,30
刚刚被朋友忽悠去参加了一个活动，结果超级无聊🙄,（厌倦）对活动内容感到无聊和失望，情绪负面。,30
今天去了一家新的咖啡馆，环境超好，下次还来☕,（满足）对新咖啡馆的体验感到极大的满足，情绪正面。,80
刚刚和朋友去看了一场话剧，真的是超有意思🎭,（满足）对话剧的体验感到极大的满足和愉悦，情绪正面。,85
今天上课又迟到了，老师的眼神让我有点心虚😳,（担心）对迟到后的可能结果感到担忧，情绪负面。,35
刚刚吃了一碗超级辣的火锅，现在嘴巴都麻了🔥,（满足）尽管感到麻辣的刺激，但总体表现出享受美食的满足感。,75
今天去参观了一个展览，学到了好多新知识🧐,（满足）对展览的学习体验感到极大的满足和愉悦，情绪正面。,80
刚刚和朋友去打了一整晚的台球，结果输了好多🎱,（失落）对台球比赛的结果感到失望，情绪负面。,30
今天在宿舍煮了个泡面，虽然简单但很满足🍜,（满足）对简单食物的满足感明显，情绪正面。,75
刚刚看了一本小说，情节很感人，推荐给大家📖,（满足）对小说的情节感到极大的情感冲击和满足，情绪正面。,80
今天去了一家新的烧烤店，结果被辣得不行🍢,（满足）尽管感到麻辣的刺激，但总体表现出享受美食的满足感。,75
刚刚被室友带去健身，结果累得快要趴下了🏋️‍♀️,（疲惫）对健身后的身体疲惫感到不适，情绪负面。,30
今天买了一本新书，打算今晚好好享受一下📚,（满足）对新书的期待感到满足和愉悦，情绪正面。,75
刚刚和朋友去钓鱼，结果什么都没钓到，只好回家了🎣,（失落）对钓鱼结果感到失望，情绪负面。,30
今天被舍友安利了一部剧，结果一看就停不下来了📺,（满足）对剧集的兴趣和满足感，情绪正面。,75
刚刚做了一个超大的蛋糕，虽然看起来有点糊，但味道还行🍰,（满足）对DIY蛋糕的结果感到成就感，情绪正面。,70
今天去植物园看花了，感觉心情超好🌺,（满足）对植物园的体验感到极大的满足和愉悦，情绪正面。,80
刚刚和朋友去野餐，结果被蚊子咬了好多包🐜,（不满）对蚊子叮咬感到不适，情绪负面。,40
今天去打了几局羽毛球，结果被虐得不行🏸,（失落）对羽毛球比赛的结果感到失望，情绪负面。,30
刚刚吃了传说中的炸鸡啤酒组合，太爽了🍗🍺,（满足）对美食体验感到极大的满足和愉悦，情绪正面。,85
今天上课迟到，老师居然没发现，侥幸逃过一劫😎,（自信）对逃过惩罚感到自信和得意，情绪正面。,80
刚刚看了一部动画片，感觉童心未泯，超治愈🎬,（满足）对动画片的体验感到治愈和满足，情绪正面。,80
今天去图书馆借书，结果遇到一位特别热心的图书管理员📖,（满足）对图书馆的正面体验感到满意，情绪正面。,75
刚刚在宿舍和室友一起打扫卫生，累并快乐着🧹,（满足）对打扫后的成就感和满足感，情绪正面。,70
今天去学校的活动中心参加了一个舞蹈课，结果腿快断了💃,（痛苦）对舞蹈课后的身体疲惫感到不适，情绪负面。,20
刚刚吃了一碗牛肉面，味道真的是太棒了🍜,（满足）对美食体验感到极大的满足和愉悦，情绪正面。,85
今天去学校的音乐会，演奏得太好听了🎻,（满足）对音乐会的体验感到极大的满足和愉悦，情绪正面。,85
刚刚和朋友们去野外烧烤，结果火没生起来，哈哈🍖,（乐观）对烧烤中的小插曲感到轻松和幽默，情绪正面。,75
今天在校园里散步，偶遇了久违的老同学，聊了好久👫,（喜悦）对与老同学的相遇感到喜悦和满足，情绪正面。,80
刚刚在宿舍做了个DIY灯饰，感觉还挺有创意💡,（满足）对DIY项目的成就感和创造感，情绪正面。,75
今天上课坐在最后一排，偷玩手机结果被老师抓到了📱,（羞愧）对被抓现行感到尴尬和羞愧，情绪负面。,25
刚刚和朋友们一起玩桌游，结果全程爆笑😂,（喜悦）对游戏中的欢乐感到极大的愉悦，情绪正面。,85
今天去了一家新开的书店，感觉环境特别好，超适合学习📚,（满足）对书店环境感到极大的满足和愉悦，情绪正面。,80
刚刚看完一部纪录片，感觉自己涨知识了🎥,（理性）对纪录片的学习体验感到理性和满足，情绪中性。,65
今天去吃了小龙虾，结果辣得眼泪直流，但还是停不下来🦞,（满足）尽管感到麻辣的刺激，但总体表现出享受美食的满足感。,75
刚刚和朋友去攀岩，结果手臂酸痛得不行🧗‍♂️,（痛苦）对攀岩后的身体疲惫感到不适，情绪负面。,20
今天去参加了一个写作比赛，结果发挥失常，郁闷😩,（失落）对比赛结果感到失望和郁闷，情绪负面。,30
刚刚和朋友去玩了密室逃脱，结果吓得我嗷嗷叫🧟‍♀️,（恐惧）对密室逃脱的惊吓感到恐惧，情绪负面。,20
今天在宿舍自己煮了顿火锅，虽然简单但很满足🍲,（满足）对自己动手做火锅的成就感和满足感，情绪正面。,75
刚刚被舍友带去看了一场舞台剧，演员演得太好了🎭,（满足）对舞台剧的体验感到极大的满足和愉悦，情绪正面。,85
今天去公园跑步，结果跑了几圈就累趴下了🏃‍♂️,（疲惫）对跑步后的身体疲惫感到不适，情绪负面。,30
刚刚和朋友去夜店嗨了一晚，感觉自己还年轻🎉,（满足）对夜店体验感到满足和愉悦，情绪正面。,80
今天吃了学校食堂的自助餐，味道还不错，性价比超高🍱,（满足）对食堂自助餐的满意度高，情绪正面。,80
刚刚看完一部新出的动漫，画风太美了🎬,（满足）对动漫的视觉效果感到极大的满足和愉悦，情绪正面。,80
